no,nama_universitas
1,Universitas Indonesia
2,Universitas Gadjah Mada
3,Institut Teknologi Bandung
4,Institut Teknologi Sepuluh Nopember
5,Universitas Airlangga
6,Universitas Diponegoro
7,Universitas Padjadjaran
8,Universitas Brawijaya
9,Universitas Sebelas Maret
10,Universitas Hasanuddin
11,Universitas Andalas
12,Universitas Sriwijaya
13,Universitas Sumatera Utara
14,Universitas Lampung
15,Universitas Riau
16,Universitas Jambi
17,Universitas Bengkulu
18,Universitas Negeri Jakarta
19,Universitas Negeri Yogyakarta
20,Universitas Negeri Malang
21,Universitas Negeri Semarang
22,Universitas Negeri Surabaya
23,Universitas Pendidikan Indonesia
24,Universitas Negeri Medan
25,Universitas Negeri Padang
26,Universitas Negeri Makassar
27,Universitas Negeri Manado
28,Universitas Negeri Gorontalo
29,Universitas Negeri Papua
30,Universitas Mataram
31,Universitas Nusa Cendana
32,Universitas Cenderawasih
33,Universitas Pattimura
34,Universitas Khairun
35,Universitas Sam Ratulangi
36,Universitas Tadulako
37,Universitas Halu Oleo
38,Universitas Mulawarman
39,Universitas Lambung Mangkurat
40,Universitas Palangka Raya
41,Universitas Tanjungpura
42,Universitas Bangka Belitung
43,Universitas Maritim Raja Ali Haji
44,Universitas Siliwangi
45,Universitas Singaperbangsa Karawang
46,Universitas Teuku Umar
47,Universitas Syiah Kuala
48,Universitas Malikussaleh
49,Universitas Sultan Ageng Tirtayasa
50,Universitas Telkom
51,Universitas Bina Nusantara
52,Universitas Gunadarma
53,Universitas Trisakti
54,Universitas Tarumanagara
55,Universitas Pelita Harapan
56,Universitas Prasetiya Mulya
57,Universitas Esa Unggul
58,Universitas Mercu Buana
59,Universitas Pancasila
60,Universitas Nasional
61,Universitas Al Azhar Indonesia
62,Universitas Islam Indonesia
63,Universitas Muhammadiyah Yogyakarta
64,Universitas Muhammadiyah Malang
65,Universitas Muhammadiyah Surakarta
66,Universitas Ahmad Dahlan
67,Universitas Kristen Petra
68,Universitas Ciputra
69,Universitas Surabaya
70,Universitas Katolik Widya Mandala
71,Universitas Sanata Dharma
72,Universitas Atma Jaya Yogyakarta
73,Universitas Kristen Satya Wacana
74,Universitas Dian Nuswantoro
75,Universitas Semarang
76,Universitas Islam Sultan Agung
77,Universitas Budi Luhur
78,Universitas Pembangunan Nasional Veteran Jakarta
79,Universitas Pembangunan Nasional Veteran Yogyakarta
80,Universitas Pembangunan Nasional Veteran Jawa Timur
81,Universitas Warmadewa
82,Universitas Mahasaraswati Denpasar
83,Universitas Hindu Indonesia
84,Universitas Dhyana Pura
85,Universitas Teknologi Yogyakarta
86,Universitas Amikom Yogyakarta
87,Universitas Teknokrat Indonesia
88,Universitas Komputer Indonesia
89,Universitas Logistik dan Bisnis Internasional
90,Universitas Sultan Zainal Abidin
91,Universitas Peradaban
92,Universitas Bung Hatta
93,Universitas Putra Indonesia YPTK
94,Universitas Ekasakti
95,Universitas Dharma Andalas
96,Universitas Lancang Kuning
97,Universitas Batanghari
